Training_Size,Attack_Traces,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Count,CI95_Lower,CI95_Upper,CI95_Width
1280.0,100.0,110.2,62.38732064913333,7.0,216.0,10.0,65.5707993275335,154.8292006724665,89.25840134493299
1280.0,500.0,106.6,70.73141687633108,18.0,200.0,10.0,56.00179246717633,157.19820753282366,101.19641506564733
1280.0,1000.0,133.5,88.21344064886661,14.0,243.0,10.0,70.39590603084072,196.6040939691593,126.20818793831857
1280.0,2000.0,159.9,59.65167409404553,83.0,253.0,10.0,117.22776298305877,202.57223701694124,85.34447403388248
1280.0,5000.0,148.9,72.16100824622056,39.0,255.0,10.0,97.27912440798457,200.52087559201544,103.24175118403087
1280.0,10000.0,150.8,82.05255768239174,22.0,252.0,10.0,92.10313620789447,209.49686379210556,117.39372758421109
2560.0,100.0,134.8,80.5299116270884,21.0,252.0,10.0,77.19237157893161,192.4076284210684,115.2152568421368
2560.0,500.0,128.1,95.30704765825733,2.0,237.0,10.0,59.92144526830576,196.27855473169421,136.35710946338844
2560.0,1000.0,119.2,83.5753818085472,4.0,232.0,10.0,59.41377345264348,178.98622654735652,119.57245309471304
2560.0,2000.0,121.2,75.01229528846883,5.0,231.0,10.0,67.53943653135721,174.8605634686428,107.32112693728558
2560.0,5000.0,144.5,89.36721994109473,12.0,248.0,10.0,80.570542046159,208.429457953841,127.85891590768199
2560.0,10000.0,117.3,66.85149379200305,39.0,223.0,10.0,69.47732224025397,165.122677759746,95.64535551949204
3840.0,100.0,160.5,81.49199006310035,33.0,241.0,10.0,102.20414212562798,218.79585787437202,116.59171574874404
3840.0,500.0,164.3,72.95668425701498,49.0,251.0,10.0,112.10993207873354,216.49006792126647,104.38013584253294
3840.0,1000.0,159.9,70.79304736734785,34.0,251.0,10.0,109.25770466980805,210.54229533019196,101.28459066038391
3840.0,2000.0,164.7,91.43917225249922,6.0,243.0,10.0,99.28835665131729,230.1116433486827,130.8232866973654
3840.0,5000.0,140.2,74.37861102345066,10.0,216.0,10.0,86.99274694655409,193.40725305344588,106.41450610689179
3840.0,10000.0,122.7,74.46110095583838,10.0,217.0,10.0,69.43373720374603,175.96626279625397,106.53252559250794
5120.0,100.0,172.4,73.55753605927207,26.0,243.0,10.0,119.78010859251339,225.01989140748663,105.23978281497324
5120.0,500.0,142.2,70.40170452481958,17.0,209.0,10.0,91.83765447481974,192.56234552518023,100.72469105036049
5120.0,1000.0,148.5,62.05239721396749,48.0,250.0,10.0,104.11038911985673,192.88961088014327,88.77922176028653
5120.0,2000.0,145.0,66.32411996316942,36.0,248.0,10.0,97.55458275074763,192.4454172492524,94.89083449850476
5120.0,5000.0,131.1,62.31898230519779,36.0,218.0,10.0,86.51968563381159,175.68031436618838,89.1606287323768
5120.0,10000.0,137.8,50.52788009274352,44.0,212.0,10.0,101.65453203070517,173.94546796929484,72.29093593858967
50000.0,100.0,210.4,41.51893811530134,138.0,255.0,10.0,180.6991408899167,240.10085911008332,59.40171822016663
50000.0,500.0,148.1,55.62663231063177,64.0,246.0,10.0,108.30710441971543,187.89289558028457,79.58579116056914
50000.0,1000.0,159.0,73.15736463268753,46.0,253.0,10.0,106.66637398609984,211.33362601390016,104.66725202780032
50000.0,2000.0,152.0,60.46854094853327,52.0,247.0,10.0,108.743411637428,195.25658836257202,86.51317672514402
50000.0,5000.0,149.8,62.556285766411115,54.0,252.0,10.0,105.04992896401772,194.55007103598228,89.50014207196456
50000.0,10000.0,99.6,50.451737113579924,24.0,197.0,10.0,63.50900143669236,135.69099856330763,72.18199712661527
